topic,term,beta
1,time,0.00865905953158563
1,people,0.00613843106328413
1,plot,0.0048873697802936
1,funny,0.00412517970649216
1,actors,0.0032144313659909
1,love,0.0031991240007584
1,bad,0.00312965989483019
1,10,0.00311670397783029
1,audience,0.00310716394604934
1,feel,0.00299357733240512
2,bad,0.00890449994695041
2,time,0.00624878839998284
2,plot,0.00488692079402757
2,love,0.00453551006943747
2,original,0.0032829983064223
2,actors,0.00318582695697428
2,people,0.00315823421582899
2,girl,0.00305022703876583
2,10,0.00296346242671463
2,makes,0.00292560851265304
3,bad,0.00424485849047589
3,people,0.00383977032828244
3,cast,0.00373185243269465
3,director,0.00361615263062701
3,story,0.0035943497023616
3,actors,0.00344459357790626
3,family,0.00337945147268235
3,makes,0.00320947098987689
3,world,0.00317185968521763
3,plot,0.00279000115164123
4,bad,0.00811240733996007
4,time,0.00651906497763097
4,people,0.00543006135153783
4,acting,0.00538421095927194
4,10,0.00344137627015517
4,worst,0.00332562104349231
4,story,0.00327486334983799
4,life,0.0031025946056918
4,pretty,0.00292993001612504
4,tv,0.00286588277244408
5,story,0.0138361589879055
5,time,0.0093983099155061
5,plot,0.0058398741945664
5,life,0.00507994241305669
5,people,0.00347983676454825
5,acting,0.00331660224917624
5,actors,0.00323786976392908
5,real,0.00310772468908598
5,lot,0.00302534429166879
5,pretty,0.0029577779255669
6,people,0.00658359047144782
6,story,0.00458202347445497
6,time,0.00441996557089534
6,actors,0.00372643086212695
6,love,0.00351566312544657
6,role,0.00306462293642466
6,bad,0.00303671416614096
6,fun,0.00301502371544049
6,world,0.00273133015939713
6,lot,0.00246676985505646
7,story,0.00675577066989179
7,time,0.00560259384830185
7,acting,0.00423704004528187
7,director,0.00405013943928923
7,bad,0.0035630199038599
7,10,0.00346327593201236
7,actors,0.00339280084916756
7,performance,0.00315339219572288
7,people,0.00310634301807006
7,cast,0.00298444594866284
8,time,0.0103342628973053
8,people,0.00676337473604339
8,life,0.00505909645996221
8,love,0.00477511263832569
8,bad,0.00425554290601757
8,acting,0.00360311000563091
8,funny,0.00354945586044588
8,plot,0.00344796257430586
8,original,0.00338617023656157
8,series,0.00333221046625879
9,time,0.00580659312202
9,love,0.00524569374335986
9,story,0.00390040009188788
9,life,0.00376674264384208
9,acting,0.00302308079356488
9,world,0.00295006968146644
9,bad,0.00267476827852731
9,minutes,0.00248177710224427
9,john,0.00226379288767024
9,people,0.00221350632467348
10,story,0.014307411082438
10,life,0.00555767093973821
10,acting,0.00509019737421494
10,pretty,0.00446570838346149
10,bad,0.00384666362382072
10,hard,0.00380148523130076
10,time,0.00319185286681992
10,plot,0.00286228579202533
10,action,0.00277963081417724
10,horror,0.00266649388178129
